id,response,sex,race,type,count,i,CASE
1,1,0,0,1,68,1,0
1,1,0,0,1,68,2,1
1,1,0,0,1,68,3,2
1,1,0,0,1,68,4,3
1,1,0,0,1,68,5,4
1,1,0,0,1,68,6,5
1,1,0,0,1,68,7,6
1,1,0,0,1,68,8,7
1,1,0,0,1,68,9,8
1,1,0,0,1,68,10,9
1,1,0,0,1,68,11,10
1,1,0,0,1,68,12,11
1,1,0,0,1,68,13,12
1,1,0,0,1,68,14,13
1,1,0,0,1,68,15,14
1,1,0,0,1,68,16,15
1,1,0,0,1,68,17,16
1,1,0,0,1,68,18,17
1,1,0,0,1,68,19,18
1,1,0,0,1,68,20,19
1,1,0,0,1,68,21,20
1,1,0,0,1,68,22,21
1,1,0,0,1,68,23,22
1,1,0,0,1,68,24,23
1,1,0,0,1,68,25,24
1,1,0,0,1,68,26,25
1,1,0,0,1,68,27,26
1,1,0,0,1,68,28,27
1,1,0,0,1,68,29,28
1,1,0,0,1,68,30,29
1,1,0,0,1,68,31,30
1,1,0,0,1,68,32,31
1,1,0,0,1,68,33,32
1,1,0,0,1,68,34,33
1,1,0,0,1,68,35,34
1,1,0,0,1,68,36,35
1,1,0,0,1,68,37,36
1,1,0,0,1,68,38,37
1,1,0,0,1,68,39,38
1,1,0,0,1,68,40,39
1,1,0,0,1,68,41,40
1,1,0,0,1,68,42,41
1,1,0,0,1,68,43,42
1,1,0,0,1,68,44,43
1,1,0,0,1,68,45,44
1,1,0,0,1,68,46,45
1,1,0,0,1,68,47,46
1,1,0,0,1,68,48,47
1,1,0,0,1,68,49,48
1,1,0,0,1,68,50,49
1,1,0,0,1,68,51,50
1,1,0,0,1,68,52,51
1,1,0,0,1,68,53,52
1,1,0,0,1,68,54,53
1,1,0,0,1,68,55,54
1,1,0,0,1,68,56,55
1,1,0,0,1,68,57,56
1,1,0,0,1,68,58,57
1,1,0,0,1,68,59,58
1,1,0,0,1,68,60,59
1,1,0,0,1,68,61,60
1,1,0,0,1,68,62,61
1,1,0,0,1,68,63,62
1,1,0,0,1,68,64,63
1,1,0,0,1,68,65,64
1,1,0,0,1,68,66,65
1,1,0,0,1,68,67,66
1,1,0,0,1,68,68,67
1,0,0,0,1,26,1,68
1,0,0,0,1,26,2,69
1,0,0,0,1,26,3,70
1,0,0,0,1,26,4,71
1,0,0,0,1,26,5,72
1,0,0,0,1,26,6,73
1,0,0,0,1,26,7,74
1,0,0,0,1,26,8,75
1,0,0,0,1,26,9,76
1,0,0,0,1,26,10,77
1,0,0,0,1,26,11,78
1,0,0,0,1,26,12,79
1,0,0,0,1,26,13,80
1,0,0,0,1,26,14,81
1,0,0,0,1,26,15,82
1,0,0,0,1,26,16,83
1,0,0,0,1,26,17,84
1,0,0,0,1,26,18,85
1,0,0,0,1,26,19,86
1,0,0,0,1,26,20,87
1,0,0,0,1,26,21,88
1,0,0,0,1,26,22,89
1,0,0,0,1,26,23,90
1,0,0,0,1,26,24,91
1,0,0,0,1,26,25,92
1,0,0,0,1,26,26,93
1,1,0,0,2,58,1,94
1,1,0,0,2,58,2,95
1,1,0,0,2,58,3,96
